Co_Name,BSE Code,Stock Exchange,Shareholding Date[201612],Grand Total[201612],Market Cap[Latest]
Ess Dee Alumin.,532787,Mumbai,31/12/2016,32047811,145.35
Essel Propack,500135,Mumbai,31/12/2016,157101285,3899.22
Eveready Inds.,531508,Mumbai,31/12/2016,72687260,1788.65
Exide Inds.,500086,Mumbai,31/12/2016,850000000,17769.25
Fag Bearings,505790,Mumbai,31/12/2016,16617270,6917.24
FDC,531599,Mumbai,31/12/2016,177833084,4063.62
Federal Bank,500469,Mumbai,31/12/2016,1722142605,14563.35
Federal-Mogul Go,505744,Mumbai,31/12/2016,55632130,2775.1
Finolex Cables,500144,Mumbai,31/12/2016,152939345,6858.56
Finolex Inds.,500940,Mumbai,31/12/2016,124095381,6098.89
Firstsour.Solu.,532809,Mumbai,31/12/2016,677924762,2668.09
Flexituff Intl.,533638,Mumbai,31/12/2016,24882806,499.47
Fortis Health.,532843,Mumbai,31/12/2016,481560044,9529.1
Future Consumer,533400,Mumbai,31/12/2016,1662492238,3865.29
Future Lifestyle,536507,Mumbai,31/12/2016,190005822,3347.9
G M D C,532181,Mumbai,31/12/2016,318000000,3765.12
G N F C,500670,Mumbai,31/12/2016,155418783,3812.45
G S F C,500690,Mumbai,31/12/2016,398477530,4395.21
Gabriel India,505714,Mumbai,31/12/2016,143643940,1609.76
GAIL (India),532155,Mumbai,31/12/2016,1268477400,60722.14
Gammon Infra.,532959,Mumbai,31/12/2016,941830724,357.9
Gateway Distr.,532622,Mumbai,31/12/2016,108728049,2813.88
Gati,532345,Mumbai,31/12/2016,88028004,1091.11
Gayatri Projects,532767,Mumbai,31/12/2016,35450380,2444.3
GE Power,532309,Mumbai,31/12/2016,67227471,4310.45
GE Shipping Co,500620,Mumbai,31/12/2016,150777065,5885.58
GE T&D India,522275,Mumbai,31/12/2016,256046535,7894.02
Geojit BNP,532285,Mumbai,31/12/2016,235293802,919.06
Geometric,532312,Mumbai,31/12/2016,66158856,1696.42
GHCL,500171,Mumbai,31/12/2016,100019286,2755.05
Gillette India,507815,Mumbai,31/12/2016,32585217,13756.08
Gitanjali Gems,532715,Mumbai,31/12/2016,118616005,840.99
Glaxosmit Pharma,500660,Mumbai,31/12/2016,84703017,22925.33
GlaxoSmith C H L,500676,Mumbai,31/12/2016,42055538,21323.79
Glenmark Pharma.,532296,Mumbai,31/12/2016,282168156,26733.76
GMR Infra.,532754,Mumbai,31/12/2016,6035945275,8269.25
Godfrey Phillips,500163,Mumbai,31/12/2016,51993920,5568.29
Godrej Consumer,532424,Mumbai,31/12/2016,340600816,53867.72
Godrej Inds.,500164,Mumbai,31/12/2016,336139786,16327.99
Godrej Propert.,533150,Mumbai,31/12/2016,216363985,8081.19
Graphite India,509488,Mumbai,31/12/2016,195375594,1995.03
Grasim Inds,500300,Mumbai,31/12/2016,466797060,44080.07
Greaves Cotton,501455,Mumbai,31/12/2016,244206795,3421.34
GRUH Finance,511288,Mumbai,31/12/2016,363930778,12899.53
GTL Infra.,532775,Mumbai,31/12/2016,2460083350,1057.84
Guj Alkalies,530001,Mumbai,31/12/2016,73436928,2712.51
Guj Fluorochem,500173,Mumbai,31/12/2016,109850000,5318.06
Guj Inds. Power,517300,Mumbai,31/12/2016,151251188,1666.02
