Co_Name,NSE_Symbol,Date,Close Price,Year & Month[Latest],Grand Total[Latest]
Ingersoll-Rand,INGERRAND,28/11/2016,674.15,201609,31568000
Tata Inv.Corpn.,TATAINVEST,28/11/2016,552.35,201609,55095296
Tata Sponge Iron,TATASPONGE,28/11/2016,537.3,201609,15400000
ITC,ITC,28/11/2016,233.7,201609,12111559581
IVP,IVP,28/11/2016,125.15,201609,10326263
J B Chem & Pharm,JBCHEPHARM,28/11/2016,340.4,201609,84819975
JK Tyre & Indust,JKTYRE,28/11/2016,117.75,201609,226813480
Jay Shree Tea,JAYSREETEA,28/11/2016,93.9,201609,28877488
Jenson & Nich.,JENSONICOL,28/11/2016,8.2,201609,37425595
K C P,KCP,28/11/2016,87.45,201609,128921160
Kalyani Steels,KSL,28/11/2016,298.45,201609,43653060
Whirlpool India,WHIRLPOOL,28/11/2016,925.25,201609,126871830
Kesoram Inds.,KESORAMIND,28/11/2016,139.6,201609,117268650
Khaitan Elect.,KHAITANELE,28/11/2016,31.5,201609,11500000
Kirl. Brothers,KIRLOSBROS,28/11/2016,171.4,201609,79408926
Cummins India,CUMMINSIND,28/11/2016,764.85,201609,277200000
Kothari Sugars,KOTARISUG,28/11/2016,14.4,201606,82888580
KSB Pumps,KSBPUMPS,28/11/2016,600.5,201609,34807844
Trent,TRENT,28/11/2016,181.45,201609,332316730
Lak. Mach. Works,LAXMIMACH,28/11/2016,3923.65,201609,11266504
Lak. Prec. Screw,LAKPRE,28/11/2016,37.6,201609,10941667
Larsen & Toubro,LT,28/11/2016,1356.95,201609,932334222
LML,LML,28/11/2016,12.4,201609,81984320
Manugraph India,MANUGRAPH,28/11/2016,46.5,201609,30415061
The Ramco Cement,RAMCOCEM,28/11/2016,582.15,201609,238076780
Mah. Scooters,MAHSCOOTER,28/11/2016,1567.5,201609,11428568
M & M,M&M,28/11/2016,1162.5,201609,621092384
Mangalam Cement,MANGLMCEM,28/11/2016,256.15,201609,26693780
Mangalore Chem.,MANGCHEFER,28/11/2016,47,201609,118515150
Max Financial,MFSL,28/11/2016,538.7,201609,267034331
Bosch,BOSCHLTD,28/11/2016,19407.55,201610,30520740
Peninsula Land,PENINLAND,28/11/2016,14.75,201609,279201220
MRF,MRF,28/11/2016,47574.05,201609,4241143
Mukand,MUKANDLTD,28/11/2016,53.8,201609,141405861
Heidelberg Cem.,HEIDELBERG,28/11/2016,113.8,201609,226613116
NCL Inds.,NCLIND,28/11/2016,116.5,201609,36732790
NELCO,NELCO,28/11/2016,75.45,201609,22818400
Piramal Enterp.,PEL,28/11/2016,1650.05,201609,172563100
NOCIL,NOCIL,28/11/2016,65.85,201609,160786980
Orient Abrasives,ORIENTABRA,28/11/2016,34.15,201609,119639200
Orient Paper,ORIENTPPR,28/11/2016,71.8,201609,204868760
Oriental Hotels,ORIENTHOT,28/11/2016,22.3,201609,178599180
OCL India,OCL,28/11/2016,786.6,201609,56900220
Pfizer,PFIZER,28/11/2016,1819.15,201609,45747732
Phillips Carbon,PHILIPCARB,28/11/2016,227.4,201609,34467572
Prakash Inds.,PRAKASH,28/11/2016,48.75,201609,135601469
Surya Roshni,SURYAROSNI,28/11/2016,197.35,201609,43831250
Fag Bearings,FAGBEARING,28/11/2016,4074.55,201609,16617270
Premier,PREMIER,28/11/2016,30.8,201609,30372570
Pressman Adv.,PRESSMN,28/11/2016,42.05,201609,23482843
Pudumjee Pulp,PDUMJEPULP,28/11/2016,20.65,201609,41000000
Punjab Chemicals,PUNJABCHEM,28/11/2016,179.7,201609,12262185
Rallis India,RALLIS,28/11/2016,203.45,201609,194468890
Rane Holdings,RANEHOLDIN,28/11/2016,802.75,201609,14277809
Raymond,RAYMOND,28/11/2016,513.75,201609,61380854
Reliance Inds.,RELIANCE,28/11/2016,986.65,201609,3243105885
Revathi Equipmnt,REVATHI,28/11/2016,580,201609,3066943
P & G Hygiene,PGHH,28/11/2016,6596.45,201609,32460736
Rollatainers,ROLLT,28/11/2016,17.35,201609,250130000
Vedanta,VEDL,28/11/2016,228.6,201609,2964694239
Seshasayee Paper,SESHAPAPER,28/11/2016,771.6,201609,12613628
Shalimar Paints,SHALPAINTS,28/11/2016,146.35,201609,18945975
Shree Cement,SHREECEM,28/11/2016,15448.15,201609,34837225
SRF,SRF,28/11/2016,1528.45,201609,57420500
Siemens,SIEMENS,28/11/2016,1078.75,201609,356120255
Siyaram Silk,SIYSIL,28/11/2016,1234.25,201609,9374016
Somany Ceramics,SOMANYCERA,28/11/2016,529.65,201609,42379426
S P I C,SPIC,28/11/2016,20.05,201606,220707136
TVS Srichakra,TVSSRICHAK,28/11/2016,3401.8,201609,7657050
Standard Inds.,SIL,28/11/2016,24.2,201609,64328941
JK Lakshmi Cem.,JKLAKSHMI,28/11/2016,378.6,201609,117670066
Sundaram Brake,SUNDRMBRAK,28/11/2016,427.75,201609,3934575
Sundaram Clayton,SUNCLAYLTD,28/11/2016,2860.05,201609,20232085
Sundram Fasten.,SUNDRMFAST,28/11/2016,293.25,201609,210128370
Sundaram Finance,SUNDARMFIN,28/11/2016,1199.2,201609,111103860
Supreme Inds.,SUPREMEIND,28/11/2016,845.85,201609,127026870
SML ISUZU,SMLISUZU,28/11/2016,1111.35,201609,14471646
Talbros Auto.,TALBROAUTO,28/11/2016,131.95,201609,12345630
Tata Chemicals,TATACHEM,28/11/2016,476.6,201609,254756278
Tata Power Co.,TATAPOWER,28/11/2016,72.7,201609,2704629398
Infomedia Press,INFOMEDIA,28/11/2016,4.95,201609,50194172
TRF,TRF,28/11/2016,199.05,201609,11004412
Tata Global,TATAGLOBAL,28/11/2016,120.95,201609,631129729
Tata Motors,TATAMOTORS,28/11/2016,454.7,201609,2887203602
Texmaco Infrast.,TEXINFRA,28/11/2016,40,201609,127426590
Thirumalai Chem.,TIRUMALCHM,28/11/2016,721.15,201609,10238812
Thomas Cook (I),THOMASCOOK,28/11/2016,190.55,201609,366520023
Tinplate Co.,TINPLATE,28/11/2016,73.05,201609,104667638
Tata Steel,TATASTEEL,28/11/2016,406.6,201609,971215439
TIL,TIL,28/11/2016,270.5,201609,10030265
Tube Investments,TUBEINVEST,28/11/2016,585.05,201609,187371415
Unichem Labs.,UNICHEMLAB,28/11/2016,263.95,201609,90870450
Eveready Inds.,EVEREADY,28/11/2016,217.7,201609,72687260
U B Holdings,UBHOLDINGS,28/11/2016,42.4,201609,66818521
Universal Cables,UNIVCABLES,28/11/2016,72.5,201609,34695381
Jubilant Life,JUBILANT,28/11/2016,657.2,201609,159281139
Voltas,VOLTAS,28/11/2016,300.95,201609,330884740
VST Inds.,VSTIND,28/11/2016,2223.7,201609,15441920
W S Inds.,WSI,28/11/2016,9.6,201609,21139789
Walchan. Inds.,WALCHANNAG,28/11/2016,141.35,201609,38070205
Wendt India,WENDT,28/11/2016,1762.9,201609,2000000
West Coast Paper,WSTCSTPAPR,28/11/2016,131.7,201609,66048908
Wheels India,WHEELS,28/11/2016,1184.05,201609,12032279
Wipro,WIPRO,28/11/2016,460.6,201609,2430801816
XPRO India,XPROINDIA,28/11/2016,46.95,201609,11659500
Zenith Birla,ZENITHBIR,28/11/2016,0.7,201609,131280448
Zuari Global,ZUARIGLOB,28/11/2016,91,201609,29440604
Automotive Axles,AUTOAXLES,28/11/2016,639.25,201609,15111975
Alembic,ALEMBICLTD,28/11/2016,35.6,201609,267031828
Alkyl Amines,ALKYLAMINE,28/11/2016,311.8,201609,20396392
Apollo Hospitals,APOLLOHOSP,28/11/2016,1236.85,201609,139125159
Oswal Green Tech,BINDALAGRO,28/11/2016,24.95,201609,256809159
Cimmco,CIMMCO,28/11/2016,64.1,201609,20148526
Dynamatic Tech.,DYNAMATECH,28/11/2016,3012.5,201609,6341443
Global Offshore,GLOBOFFS,28/11/2016,110.4,201609,24728793
Godfrey Phillips,GODFRYPHLP,28/11/2016,937.6,201609,51993920
Indo National,NIPPOBATRY,28/11/2016,978.45,201609,3750000
Nalwa Sons Invst,NSIL,28/11/2016,727.9,201609,5136163
JBF Inds.,JBFIND,28/11/2016,197.6,201609,81871849
Lyka Labs,LYKALABS,28/11/2016,61.35,201609,22040000
NESCO,NESCO,28/11/2016,2025.65,201609,14091992
Oudh Sugar Mills,OUDHSUG,28/11/2016,109.8,201609,25917285
Marathon Nextgen,MARATHON,28/11/2016,225,201609,28437345
RSWM Ltd,RSWM,28/11/2016,446.05,201609,23148689
Rico Auto Inds,RICOAUTO,28/11/2016,61.45,201609,135285000
Ruchi Soya Inds.,RUCHISOYA,28/11/2016,20,201609,334100722
V I P Inds.,VIPIND,28/11/2016,117.1,201609,141317315
Vindhya Telelink,VINDHYATEL,28/11/2016,605.45,201609,11850863
Balmer Lawrie,BALMLAWRIE,28/11/2016,933.45,201609,28500641
Dhunseri Petro.,DPL,28/11/2016,74,201609,35024754
Kanoria Chem.,KANORICHEM,28/11/2016,77.3,201609,43693333
Williamson Magor,WILLAMAGOR,28/11/2016,53.9,201609,10956360
McNally Bharat,MBECL,28/11/2016,53.15,201609,53593818
Oriental Carbon,OCCL,28/11/2016,768.25,201609,10296062
Upper Gang. Sug.,UPERGANGES,28/11/2016,306.55,201609,11557239
Peria Kara. Tea,PKTEA,28/11/2016,148,201609,3095879
Sakthi Sugars,SAKHTISUG,28/11/2016,36.95,201609,118849036
TTK Healthcare,TTKHLTCARE,28/11/2016,905.15,201609,7765983
Lumax Inds.,LUMAXIND,28/11/2016,771.65,201609,9347732
Ador Welding,ADORWELD,28/11/2016,285.1,201609,13598467
Oricon Enter.,ORICONENT,28/11/2016,46.35,201609,157047715
Mangalam Timber,MANGTIMBER,28/11/2016,28.15,201609,18327400
Sudarshan Chem.,SUDARSCHEM,28/11/2016,339.7,201609,69227250
Windsor Machines,WINDMACHIN,28/11/2016,42.25,201609,64931800
Uniphos Enter.,UNIENTER,28/11/2016,56.35,201609,69545849
Dr Reddy's Labs,DRREDDY,28/11/2016,3172.9,201609,165710785
Uttam Value Ste.,UVSL,28/11/2016,0.4,201609,6608076335
BSL,BSL,28/11/2016,68.3,201609,10292168
Regency Ceramics,REGENCERAM,28/11/2016,6.95,201609,26441586
IFB Agro Inds.,IFBAGRO,28/11/2016,381.6,201609,9367111
Himatsing. Seide,HIMATSEIDE,28/11/2016,281.8,201609,98457160
T N Petro Prod.,TNPETRO,28/11/2016,25.25,201609,89971474
INEOS Styrolut.,INEOSSTYRO,28/11/2016,598.75,201609,17585625
Gandhi Spl. Tube,GANDHITUBE,28/11/2016,295.55,201609,14698616
Kesar Enterprise,KESARENT,28/11/2016,38,201609,10079682
Vardhman Textile,VTL,28/11/2016,1094.85,201609,63651879
Munjal Showa,MUNJALSHOW,28/11/2016,199.85,201609,39995000
Nahar Spinning,NAHARSPING,28/11/2016,116.8,201609,36065303
Rain Industries,RAIN,28/11/2016,49.65,201609,336345679
Jindal Saw,JINDALSAW,28/11/2016,53.9,201609,319754117
Shanthi Gears,SHANTIGEAR,28/11/2016,111.7,201609,81715853
Tainwala Chem.,TAINWALCHM,28/11/2016,42.85,201609,9363863
Vardhman Hold.,VHL,28/11/2016,1828.7,201609,3191536
Unitech,UNITECH,28/11/2016,4.9,201609,2616301047
Banco Products,BANCOINDIA,28/11/2016,181.95,201609,71518650
Natl. Steel&Agro,NATNLSTEEL,28/11/2016,16.95,201609,44500000
Zandu Realty,ZANDUREALT,28/11/2016,1130.15,201609,806400
Sagar Cements,SAGCEM,28/11/2016,715.65,201609,17388014
Titan Company,TITAN,28/11/2016,306.55,201609,887786160
HCL Infosystems,HCL-INSYS,28/11/2016,50.6,201609,222919629
Garden Silk Mill,GARDENSILK,28/11/2016,27.25,201609,42082525
Asahi India Glas,ASAHIINDIA,28/11/2016,176.05,201609,243089931
GHCL,GHCL,28/11/2016,246.35,201609,100019286
Honda Siel Power,HONDAPOWER,28/11/2016,1493.95,201609,10143071
Nicco Corpn.,NICCO,28/11/2016,0.5,201606,136877482
Visaka Inds.,VISAKAIND,28/11/2016,197,201609,15880952
Sona Koyo Steer.,SONASTEER,28/11/2016,57.35,201609,198741832
Polyplex Corpn,POLYPLEX,28/11/2016,337.2,201609,31984600
Uttam Galva,UTTAMSTL,28/11/2016,28.45,201609,142260103
Ester Inds.,ESTER,28/11/2016,39.55,201609,83393759
Sunflag Iron,SUNFLAG,28/11/2016,36.1,201609,180219448
Murudesh Ceramic,MURUDCERA,28/11/2016,27.95,201609,40813922
Kirloskar Indus.,KIRLOSIND,28/11/2016,840.35,201609,9708619
Guj. Sidhee Cem.,GSCLCEMENT,28/11/2016,24.85,201609,86153852
Munjal Auto Inds,MUNJALAU,28/11/2016,91.6,201609,50000000
Usha Martin,USHAMART,28/11/2016,14.65,201609,304741780
AGC Networks,AGCNET,28/11/2016,84.7,201609,28466464
Aban Offshore,ABAN,28/11/2016,214.85,201609,58365323
EIH Assoc.Hotels,EIHAHOTELS,28/11/2016,295.25,201609,30468147
